name,team,span,mat,inns,no,runs,hs,ave,100,50,0
G Dymock,AUS,1974-1980,21,32,7,236,31*,9.44,0,0,7
J Dyson,AUS,1977-1984,30,58,7,1359,127*,26.64,2,5,4
CJ Eady,AUS,1896-1902,2,4,1,20,10*,6.66,0,0,0
MA Ealham,ENG,1996-1998,8,13,3,210,53*,21.00,0,2,0
KH Eastwood,AUS,1971-1971,1,2,0,5,5,2.50,0,0,1
Ebadot Hossain,BAN,2019-2023,19,31,15,50,21*,3.12,0,0,10
HI Ebeling,AUS,1934-1934,1,2,0,43,41,21.50,0,0,0
DD Ebrahim,ZIM,2001-2005,29,55,1,1225,94,22.68,0,10,8
BA Edgar,NZ,1978-1986,39,68,4,1958,161,30.59,3,12,7
PH Edmonds,ENG,1975-1987,51,65,15,875,64,17.50,0,2,5
JH Edrich,ENG,1963-1976,77,127,9,5138,310*,43.54,12,24,6
WJ Edrich,ENG,1938-1955,39,63,2,2440,219,40.00,6,13,3
FH Edwards,WI,2003-2012,55,88,28,394,30,6.56,0,0,19
GN Edwards,NZ,1977-1981,8,15,0,377,55,25.13,0,3,2
JD Edwards,AUS,1888-1888,3,6,1,48,26,9.60,0,0,3
KA Edwards,WI,2011-2014,17,32,1,986,121,31.80,2,8,4
R Edwards,AUS,1972-1975,20,32,3,1171,170*,40.37,2,9,4
RM Edwards,WI,1968-1969,5,8,1,65,22,9.28,0,0,2
WJ Edwards,AUS,1974-1974,3,6,0,68,30,11.33,0,0,2
Ehsanul Haque,BAN,2002-2002,1,2,0,7,5,3.50,0,0,0
Ehsan Adil,PAK,2013-2015,3,4,0,21,12,5.25,0,0,2
Ehteshamuddin,PAK,1979-1982,5,3,1,2,2,1.00,0,0,1
CE Eksteen,SA,1993-2000,7,11,2,91,22,10.11,0,0,1
D Elgar,SA,2012-2023,84,149,11,5146,199,37.28,13,23,13
MK Elgie,SA,1961-1962,3,6,0,75,56,12.50,0,1,2
Elias Sunny,BAN,2011-2013,4,6,1,38,20*,7.60,0,0,2
GD Elliott,NZ,2008-2009,5,9,1,86,25,10.75,0,0,1
Harry Elliott,ENG,1928-1934,4,5,1,61,37*,15.25,0,0,0
MTG Elliott,AUS,1996-2004,21,36,1,1172,199,33.48,3,4,5
RM Ellison,ENG,1984-1986,11,16,1,202,41,13.46,0,0,1
S Elworthy,SA,1998-2002,4,5,1,72,48,18.00,0,0,0
L Embuldeniya,SL,2019-2022,17,27,1,191,40,7.34,0,0,8
JE Emburey,ENG,1978-1995,64,96,20,1713,75,22.53,0,10,16
PA Emery,AUS,1994-1994,1,1,1,8,8*,-,0,0,0
RWG Emery,NZ,1952-1952,2,4,0,46,28,11.50,0,0,0
SH Emery,AUS,1912-1912,4,2,0,6,5,3.00,0,0,0
GM Emmett,ENG,1948-1948,1,2,0,10,10,5.00,0,0,1
T Emmett,ENG,1877-1882,7,13,1,160,48,13.33,0,0,1
Enamul Haque,BAN,2001-2003,10,19,4,180,24*,12.00,0,0,3
Enamul Haque jnr,BAN,2003-2013,15,26,16,59,13,5.90,0,0,4
WR Endean,SA,1951-1958,28,52,4,1630,162*,33.95,3,8,3
FM Engineer,IND,1961-1975,46,87,3,2611,121,31.08,2,16,7
RMS Eranga,SL,2011-2016,19,26,11,193,45*,12.86,0,0,4
CR Ervine,ZIM,2011-2023,20,40,2,1332,160,35.05,3,5,2
SM Ervine,ZIM,2003-2004,5,8,0,261,86,32.62,0,3,1
SJ Erwee,SA,2022-2023,10,19,1,479,108,26.61,1,1,2
AJ Evans,ENG,1921-1921,1,2,0,18,14,9.00,0,0,0
B Evans,ZIM,2023-2023,1,2,0,7,7,3.50,0,0,1
CN Evans,ZIM,1996-2003,3,6,0,52,22,8.66,0,0,0
E Evans,AUS,1881-1886,6,10,2,82,33,10.25,0,0,3
TG Evans,ENG,1946-1959,91,133,14,2439,104,20.49,2,8,17
GM Ewing,ZIM,2003-2005,3,6,0,108,71,18.00,0,1,2
AE Fagg,ENG,1936-1939,5,8,0,150,39,18.75,0,0,0
Faheem Ashraf,PAK,2018-2022,16,25,1,673,91,28.04,0,4,4
Fahim Muntasir,BAN,2002-2002,3,6,0,52,33,8.66,0,0,1
NH Fairbrother,ENG,1987-1993,10,15,1,219,83,15.64,0,1,1
AG Fairfax,AUS,1929-1931,10,12,4,410,65,51.25,0,4,0
Faisal Hossain,BAN,2004-2004,1,2,0,7,5,3.50,0,0,0
Faisal Iqbal,PAK,2001-2010,26,44,2,1124,139,26.76,1,8,4
Fakhar Zaman,PAK,2018-2019,3,6,0,192,94,32.00,0,2,0
FL Fane,ENG,1906-1910,14,27,1,682,143,26.23,1,3,3
Farhan Adil,PAK,2003-2003,1,2,0,33,25,16.50,0,0,0
K Farnes,ENG,1934-1939,15,17,5,58,20,4.83,0,0,4
Farooq Hamid,PAK,1964-1964,1,2,0,3,3,1.50,0,0,1
WS Farrer,SA,1962-1964,6,10,2,221,40,27.62,0,0,0
W Farrimond,ENG,1931-1935,4,7,0,116,35,16.57,0,0,0
Farrukh Zaman,PAK,1976-1976,1,-,-,-,-,-,-,-,-
GA Faulkner,SA,1906-1924,25,47,4,1754,204,40.79,4,8,2
JP Faulkner,AUS,2013-2013,1,2,0,45,23,22.50,0,0,0
LE Favell,AUS,1954-1961,19,31,3,757,101,27.03,1,5,2
Fawad Alam,PAK,2009-2022,19,30,4,1011,168,38.88,5,2,3
Fazal Mahmood,PAK,1952-1962,34,50,6,620,60,14.09,0,1,10
Fazl-e-Akbar,PAK,1998-2004,5,8,4,52,25,13.00,0,0,2
JP Fellows-Smith,SA,1960-1960,4,8,2,166,35,27.66,0,0,0
PGH Fender,ENG,1921-1929,13,21,1,380,60,19.00,0,2,3
CJ Ferguson,AUS,2016-2016,1,2,0,4,3,2.00,0,0,0
LH Ferguson,NZ,2019-2019,1,2,2,1,1*,-,0,0,0
W Ferguson,WI,1948-1954,8,10,3,200,75,28.57,0,2,1
MP Fernandes,WI,1928-1930,2,4,0,49,22,12.25,0,0,1
AM Fernando,SL,2021-2023,11,15,7,28,10,3.50,0,0,4
N Pradeep,SL,2011-2017,28,50,17,132,17*,4.00,0,0,18
BOP Fernando,SL,2019-2023,21,37,4,1091,102,33.06,1,7,2
CRD Fernando,SL,2000-2012,40,47,17,249,39*,8.30,0,0,8
ERNS Fernando,SL,1983-1984,5,10,0,112,46,11.20,0,0,3
KADM Fernando,SL,2003-2003,2,3,1,56,51*,28.00,0,1,0
KHRK Fernando,SL,2002-2002,2,4,0,38,24,9.50,0,0,2
KNM Fernando,SL,2023-2023,3,4,0,292,205,73.00,1,0,0
MVT Fernando,SL,2016-2023,19,25,12,85,38,6.53,0,0,10
TCB Fernando,SL,2001-2002,9,8,3,132,45,26.40,0,0,1
NR Ferreira,ZIM,2005-2005,1,2,0,21,16,10.50,0,0,0
JJ Ferris,AUS/ENG,1887-1892,9,17,4,114,20*,8.76,0,0,1
CG Fichardt,SA,1892-1896,2,4,0,15,10,3.75,0,0,1
A Fielder,ENG,1904-1908,6,12,5,78,20,11.14,0,0,0
AJ Finch,AUS,2018-2018,5,10,0,278,62,27.80,0,2,1
TM Findlay,WI,1969-1973,10,16,3,212,44*,16.30,0,0,1
JHW Fingleton,AUS,1932-1938,18,29,1,1189,136,42.46,5,3,3
CE Finlason,SA,1889-1889,1,2,0,6,6,3.00,0,0,1
ST Finn,ENG,2010-2016,36,47,22,279,56,11.16,0,1,9
FE Fisher,NZ,1953-1953,1,2,0,23,14,11.50,0,0,0
MD Fisher,ENG,2022-2022,1,1,1,0,0*,-,0,0,0
LB Fishlock,ENG,1936-1947,4,5,1,47,19*,11.75,0,0,1
JA Flavell,ENG,1961-1964,4,6,2,31,14,7.75,0,0,0
LO Fleetwood-Smith,AUS,1935-1938,10,11,5,54,16*,9.00,0,0,2
DW Fleming,AUS,1994-2001,20,19,3,305,71*,19.06,0,2,7
SP Fleming,NZ,1994-2008,111,189,10,7172,274*,40.06,9,46,16
KWR Fletcher,ENG,1968-1982,59,96,14,3272,216,39.90,7,19,6
A Flintoff,ENG/ICC,1998-2009,79,130,9,3845,167,31.77,5,26,17
CE Floquet,SA,1910-1910,1,2,1,12,11*,12.00,0,0,0
A Flower,ZIM,1992-2002,63,112,19,4794,232*,51.54,12,27,5
GW Flower,ZIM,1992-2004,67,123,6,3457,201*,29.54,6,15,16
W Flowers,ENG,1884-1893,8,14,0,254,56,18.14,0,1,0
DR Flynn,NZ,2008-2013,24,45,5,1038,95,25.95,0,6,8
BT Foakes,ENG,2018-2023,20,36,7,934,113*,32.20,2,4,3
H Foley,NZ,1930-1930,1,2,0,4,2,2.00,0,0,0
FGJ Ford,ENG,1894-1895,5,9,0,168,48,18.66,0,0,1
FR Foster,ENG,1911-1912,11,15,1,330,71,23.57,0,3,1
JS Foster,ENG,2001-2002,7,12,3,226,48,25.11,0,0,1
MLC Foster,WI,1969-1978,14,24,5,580,125,30.52,1,1,0
NA Foster,ENG,1983-1993,29,45,7,446,39,11.73,0,0,9
RE Foster,ENG,1903-1907,8,14,1,602,287,46.30,1,1,1
AJ Fothergill,ENG,1889-1889,2,2,0,33,32,16.50,0,0,0
G Fowler,ENG,1982-1985,21,37,0,1307,201,35.32,3,8,3
BC Francis,AUS,1972-1972,3,5,0,52,27,10.40,0,0,1
GN Francis,WI,1928-1933,10,18,4,81,19*,5.78,0,0,4
HH Francis,SA,1899-1899,2,4,0,39,29,9.75,0,0,0
CM Francois,SA,1922-1923,5,9,1,252,72,31.50,0,1,0
CN Frank,SA,1921-1921,3,6,0,236,152,39.33,1,0,0
WHB Frank,SA,1896-1896,1,2,0,7,5,3.50,0,0,0
JEC Franklin,NZ,2001-2013,31,46,7,808,122*,20.71,1,2,6
TJ Franklin,NZ,1983-1991,21,37,1,828,101,23.00,1,4,2
ARC Fraser,ENG,1989-1998,46,67,15,388,32,7.46,0,0,9
MC Frederick,WI,1954-1954,1,2,0,30,30,15.00,0,0,1
RC Fredericks,WI,1968-1977,59,109,7,4334,169,42.49,8,26,7
AP Freeman,ENG,1924-1929,12,16,5,154,50*,14.00,0,1,2
DL Freeman,NZ,1933-1933,2,2,0,2,1,1.00,0,0,0
EW Freeman,AUS,1968-1970,11,18,0,345,76,19.16,0,2,0
FAW Freer,AUS,1946-1946,1,1,1,28,28*,-,0,0,0
BN French,ENG,1986-1988,16,21,4,308,59,18.11,0,1,2
TJ Friend,ZIM,2001-2004,13,19,4,447,81,29.80,0,3,4
CB Fry,ENG,1896-1912,26,41,3,1223,144,32.18,2,7,3
AB Fudadin,WI,2012-2012,3,5,1,122,55,30.50,0,1,0
ERH Fuller,SA,1953-1958,7,9,1,64,17,8.00,0,0,2
RL Fuller,WI,1935-1935,1,1,0,1,1,1.00,0,0,0
GM Fullerton,SA,1947-1951,7,13,0,325,88,25.00,0,3,1
PG Fulton,NZ,2006-2014,23,39,1,967,136,25.44,2,5,3
KJ Funston,SA,1952-1958,18,33,1,824,92,25.75,0,5,2
HA Furlonge,WI,1955-1956,3,5,0,99,64,19.80,0,1,1
ST Gabriel,WI,2012-2023,58,87,34,229,20*,4.32,0,0,22
CV Gadkari,IND,1953-1955,6,10,4,129,50*,21.50,0,1,2
AD Gaekwad,IND,1974-1985,40,70,4,1985,201,30.07,2,10,4
DK Gaekwad,IND,1952-1961,11,20,1,350,52,18.42,0,1,3
HG Gaekwad,IND,1952-1952,1,2,0,22,14,11.00,0,0,0
IS Gallage,SL,1999-1999,1,1,0,3,3,3.00,0,0,0
JER Gallian,ENG,1995-1995,3,6,0,74,28,12.33,0,0,2
N Gallichan,NZ,1937-1937,1,2,0,32,30,16.00,0,0,0
PLS Gamage,SL,2017-2018,5,8,4,6,3,1.50,0,0,1
G Gambhir,IND,2004-2016,58,104,5,4154,206,41.95,9,22,7
D Gamsy,SA,1970-1970,2,3,1,39,30*,19.50,0,0,0
DJ Gandhi,IND,1999-1999,4,7,1,204,88,34.00,0,2,2
A Gandotra,IND,1969-1969,2,4,0,54,18,13.50,0,0,0
D Ganesh,IND,1997-1997,4,7,3,25,8,6.25,0,0,0
D Ganga,WI,1998-2008,48,86,2,2160,135,25.71,3,9,9
SC Ganguly,IND,1996-2008,113,188,17,7212,239,42.17,16,35,13
JB Gannon,AUS,1977-1978,3,5,4,3,3*,3.00,0,0,1
AG Ganteaume,WI,1948-1948,1,1,0,112,112,112.00,1,0,0
J Garner,WI,1977-1987,58,68,14,672,60,12.44,0,1,17
TW Garrett,AUS,1877-1888,19,33,6,339,51*,12.55,0,1,5
LV Garrick,WI,2001-2001,1,2,0,27,27,13.50,0,0,1
BBM Gaskin,WI,1948-1948,2,3,0,17,10,5.66,0,0,1
MW Gatting,ENG,1978-1995,79,138,14,4409,207,35.55,10,21,16
RA Gaunt,AUS,1958-1964,3,4,2,6,3,3.00,0,0,0
SM Gavaskar,IND,1971-1987,125,214,16,10122,236*,51.12,34,45,12
LH Gay,ENG,1894-1894,1,2,0,37,33,18.50,0,0,0
CH Gayle,WI,2000-2014,103,182,11,7214,333,42.18,15,37,15
G Geary,ENG,1924-1934,14,20,4,249,66,15.56,0,2,3
SG Gedye,NZ,1964-1965,4,8,0,193,55,24.12,0,2,0
DRA Gehrs,AUS,1904-1911,6,11,0,221,67,20.09,0,2,1
PR George,AUS,2010-2010,1,2,0,2,2,1.00,0,0,1
LK Germon,NZ,1995-1997,12,21,3,382,55,21.22,0,1,3
KD Ghavri,IND,1974-1981,39,57,14,913,86,21.23,0,2,2
MEZ Ghazali,PAK,1954-1954,2,4,0,32,18,8.00,0,0,2
JM Ghorpade,IND,1953-1959,8,15,0,229,41,15.26,0,0,3
Ghulam Abbas,PAK,1967-1967,1,2,0,12,12,6.00,0,0,1
Ghulam Ahmed,IND,1948-1959,22,31,9,192,50,8.72,0,1,9
PA Gibb,ENG,1938-1946,8,13,0,581,120,44.69,2,3,1
GL Gibbs,WI,1955-1955,1,2,0,12,12,6.00,0,0,1
HH Gibbs,SA,1996-2008,90,154,7,6167,228,41.95,14,26,11
LR Gibbs,WI,1958-1976,79,109,39,488,25,6.97,0,0,15
OD Gibson,WI,1995-1999,2,4,0,93,37,23.25,0,0,0
ESH Giddins,ENG,1999-2000,4,7,3,10,7,2.50,0,0,3
G Giffen,AUS,1881-1896,31,53,0,1238,161,23.35,1,6,5
WF Giffen,AUS,1887-1892,3,6,0,11,3,1.83,0,0,1
N Gifford,ENG,1964-1973,15,20,9,179,25*,16.27,0,0,1
DR Gilbert,AUS,1985-1986,9,12,4,57,15,7.12,0,0,1
AC Gilchrist,AUS,1999-2008,96,137,20,5570,204*,47.60,17,26,14
R Gilchrist,WI,1957-1959,13,14,3,60,12,5.45,0,0,4
AF Giles,ENG,1998-2006,54,81,13,1421,59,20.89,0,4,9
JN Gillespie,AUS,1996-2006,71,93,28,1218,201*,18.73,1,2,13
MR Gillespie,NZ,2007-2012,5,8,1,76,27,10.85,0,0,3
SR Gillespie,NZ,1986-1986,1,1,0,28,28,28.00,0,0,0
AER Gilligan,ENG,1922-1925,11,16,3,209,39*,16.07,0,0,2
AHH Gilligan,ENG,1930-1930,4,4,0,71,32,17.75,0,0,0
GJ Gilmour,AUS,1973-1977,15,22,1,483,101,23.00,1,3,3
H Gimblett,ENG,1936-1939,3,5,1,129,67*,32.25,0,1,0
G Gladstone,WI,1930-1930,1,1,1,12,12*,-,0,0,0
C Gladwin,ENG,1947-1949,8,11,5,170,51*,28.33,0,1,0
JW Gleeson,AUS,1967-1972,29,46,8,395,45,10.39,0,0,11
RA Gleeson,SA,1896-1896,1,2,1,4,3,4.00,0,0,0
GK Glover,SA,1896-1896,1,2,1,21,18*,21.00,0,0,0
JDC Goddard,WI,1948-1957,27,39,11,859,83*,30.67,0,4,5
TL Goddard,SA,1955-1970,41,78,5,2516,112,34.46,1,18,4
TWJ Goddard,ENG,1930-1939,8,5,3,13,8,6.50,0,0,1
HA Gomes,WI,1976-1987,60,91,11,3171,143,39.63,9,13,5
GE Gomez,WI,1939-1954,29,46,5,1243,101,30.31,1,8,5
GA Gooch,ENG,1975-1995,118,215,6,8900,333,42.58,20,46,13
MW Goodwin,ZIM,1998-2000,19,37,4,1414,166*,42.84,3,8,4
Y Goonasekera,SL,1983-1983,2,4,0,48,23,12.00,0,0,0
HM Goonatilleke,SL,1982-1982,5,10,2,177,56,22.12,0,1,1
MJ Gopalan,IND,1934-1934,1,2,1,18,11*,18.00,0,0,0
CD Gopinath,IND,1951-1960,8,12,1,242,50*,22.00,0,1,4
N Gordon,SA,1938-1939,5,6,2,8,7*,2.00,0,0,3
D Gough,ENG,1994-2003,58,86,18,855,65,12.57,0,2,14
AR Gover,ENG,1936-1946,4,1,1,2,2*,-,0,0,0
DI Gower,ENG,1978-1992,117,204,18,8231,215,44.25,18,39,7
EM Grace,ENG,1880-1880,1,2,0,36,36,18.00,0,0,1
GF Grace,ENG,1880-1880,1,2,0,0,0,0.00,0,0,2
WG Grace,ENG,1880-1899,22,36,2,1098,170,32.29,2,5,2
H Graham,AUS,1893-1896,6,10,0,301,107,30.10,2,0,2
R Graham,SA,1899-1899,2,4,0,6,4,1.50,0,0,2
GC Grant,WI,1930-1935,12,22,6,413,71*,25.81,0,3,1
RS Grant,WI,1935-1939,7,11,1,220,77,22.00,0,1,3
TW Graveney,ENG,1951-1969,79,123,13,4882,258,44.38,11,20,8
AH Gray,WI,1986-1987,5,8,2,48,12*,8.00,0,0,2
EJ Gray,NZ,1983-1988,10,16,0,248,50,15.50,0,1,0
MJ Greatbatch,NZ,1988-1996,41,71,5,2021,146*,30.62,3,10,9
C Green,AUS,2020-2023,20,28,3,941,114,37.64,1,6,2
T Greenhough,ENG,1959-1960,4,4,1,4,2,1.33,0,0,1
AE Greenidge,WI,1978-1979,6,10,0,222,69,22.20,0,2,2
CG Greenidge,WI,1974-1991,108,185,16,7558,226,44.72,19,34,11
GA Greenidge,WI,1972-1973,5,9,2,209,50,29.85,0,1,1
A Greenwood,ENG,1877-1877,2,4,0,77,49,19.25,0,0,0
DW Gregory,AUS,1877-1879,3,5,2,60,43,20.00,0,0,0
EJ Gregory,AUS,1877-1877,1,2,0,11,11,5.50,0,0,1
JM Gregory,AUS,1920-1928,24,34,3,1146,119,36.96,2,7,3
RG Gregory,AUS,1937-1937,2,3,0,153,80,51.00,0,2,0
SE Gregory,AUS,1890-1912,58,100,7,2282,201,24.53,4,8,12
AW Greig,ENG,1972-1977,58,93,4,3599,148,40.43,8,20,5
IA Greig,ENG,1982-1982,2,4,0,26,14,6.50,0,0,0
MG Grell,WI,1930-1930,1,2,0,34,21,17.00,0,0,0
BAF Grieve,ENG,1889-1889,2,3,2,40,14*,40.00,0,0,0
RE Grieveson,SA,1939-1939,2,2,0,114,75,57.00,0,1,0
GM Griffin,SA,1960-1960,2,4,0,25,14,6.25,0,0,1
AFG Griffith,WI,1997-2000,14,27,1,638,114,24.53,1,4,4
CC Griffith,WI,1960-1969,28,42,10,530,54,16.56,0,1,5
HC Griffith,WI,1928-1933,13,23,5,91,18,5.05,0,0,6
SC Griffith,ENG,1948-1949,3,5,0,157,140,31.40,1,0,1
CV Grimmett,AUS,1925-1936,37,50,10,557,50,13.92,0,1,7
TR Gripper,ZIM,1999-2004,20,38,1,809,112,21.86,1,5,5
TU Groube,AUS,1880-1880,1,2,0,11,11,5.50,0,0,1
ATW Grout,AUS,1957-1966,51,67,8,890,74,15.08,0,3,11
GM Guard,IND,1958-1960,2,2,0,11,7,5.50,0,0,0
CEJ Guest,AUS,1963-1963,1,1,0,11,11,11.00,0,0,0
S Guha,IND,1967-1969,4,7,2,17,6,3.40,0,0,1
SC Guillen,NZ/WI,1951-1956,8,12,2,202,54,20.20,0,1,3
Gul Mohammad,IND/PAK,1946-1956,9,17,1,205,34,12.81,0,0,2
DAS Gunaratne,SL,2016-2017,6,10,2,455,116,56.87,1,3,1
MD Gunathilaka,SL,2017-2018,8,16,0,299,61,18.68,0,2,0
DA Gunawardene,SL,1999-2005,6,11,0,181,43,16.45,0,0,1
RPW Guneratne,SL,1983-1983,1,2,2,0,0*,-,0,0,0
G Gunn,ENG,1907-1930,15,29,1,1120,122*,40.00,2,7,3
JR Gunn,ENG,1901-1905,6,10,2,85,24,10.62,0,0,1
W Gunn,ENG,1887-1899,11,20,2,392,102*,21.77,1,1,1
BP Gupte,IND,1961-1965,3,3,2,28,17*,28.00,0,0,0
SP Gupte,IND,1951-1961,36,42,13,183,21,6.31,0,0,6
MJ Guptill,NZ,2009-2016,47,89,1,2586,189,29.38,3,17,10
Gursharan Singh,IND,1990-1990,1,1,0,18,18,18.00,0,0,0
AP Gurusinha,SL,1985-1996,41,70,7,2452,143,38.92,7,8,3
JW Guy,NZ,1955-1961,12,23,2,440,102,20.95,1,3,3
A Habib,ENG,1999-1999,2,3,0,26,19,8.66,0,0,0
Habibul Bashar,BAN,2000-2008,50,99,1,3026,113,30.87,3,24,7
BJ Haddin,AUS,2008-2015,66,112,13,3266,169,32.98,4,18,8
DR Hadlee,NZ,1969-1978,26,42,5,530,56,14.32,0,1,9
Sir RJ Hadlee,NZ,1973-1990,86,134,19,3124,151*,27.16,2,15,12
WA Hadlee,NZ,1937-1951,11,19,1,543,116,30.16,1,2,1
NE Haig,ENG,1921-1930,5,9,0,126,47,14.00,0,0,2
S Haigh,ENG,1899-1912,11,18,3,113,25,7.53,0,0,4
AD Hales,ENG,2015-2016,11,21,0,573,94,27.28,0,5,0
AE Hall,SA,1923-1931,7,8,2,11,5,1.83,0,0,4
AJ Hall,SA,2002-2007,21,33,4,760,163,26.20,1,3,7
GG Hall,SA,1965-1965,1,1,0,0,0,0.00,0,0,1
WW Hall,WI,1958-1969,48,66,14,818,50*,15.73,0,2,7
EA Halliwell,SA,1892-1902,8,15,0,188,57,12.53,0,1,3
C Hallows,ENG,1921-1928,2,2,1,42,26,42.00,0,0,0
CG Halse,SA,1964-1964,3,3,3,30,19*,-,0,0,0
H Hameed,ENG,2016-2022,10,19,1,439,82,24.38,0,4,4
RA Hamence,AUS,1947-1948,3,4,1,81,30*,27.00,0,0,0
GM Hamilton,ENG,1999-1999,1,2,0,0,0,0.00,0,0,2
JN Hamilton,WI,2019-2019,1,2,0,5,5,2.50,0,0,1
JR Hammond,AUS,1973-1973,5,5,2,28,19,9.33,0,0,1
WR Hammond,ENG,1927-1947,85,140,16,7249,336*,58.45,22,24,4
JH Hampshire,ENG,1969-1975,8,16,1,403,107,26.86,1,2,2
PAM Hands,SA,1913-1924,7,12,0,300,83,25.00,0,2,2
RHM Hands,SA,1914-1914,1,2,0,7,7,3.50,0,0,1
PSP Handscomb,AUS,2016-2023,20,35,6,1079,110,37.20,2,5,2
Hanif Mohammad,PAK,1952-1969,55,97,8,3915,337,43.98,12,15,5
MA Hanley,SA,1949-1949,1,1,0,0,0,0.00,0,0,1
Hannan Sarkar,BAN,2002-2004,17,33,0,662,76,20.06,0,5,5
Hanumant Singh,IND,1964-1969,14,24,2,686,105,31.18,1,5,3
Harbhajan Singh,IND,1998-2015,103,145,23,2224,115,18.22,2,9,19
MS Hardikar,IND,1958-1958,2,4,1,56,32*,18.66,0,0,1
HTW Hardinge,ENG,1921-1921,1,2,0,30,25,15.00,0,0,0
J Hardstaff snr,ENG,1907-1908,5,10,0,311,72,31.10,0,3,0
J Hardstaff jnr,ENG,1935-1948,23,38,3,1636,205*,46.74,4,10,4
NS Harford,NZ,1955-1958,8,15,0,229,93,15.26,0,2,4
RI Harford,NZ,1968-1968,3,5,2,7,6,2.33,0,0,1
Haris Rauf,PAK,2022-2022,1,2,0,12,12,6.00,0,0,1
Haris Sohail,PAK,2017-2021,16,27,1,847,147,32.57,2,3,1
SR Harmer,SA,2015-2023,10,14,2,221,47,18.41,0,0,0
SJ Harmison,ENG/ICC,2002-2009,63,86,23,743,49*,11.79,0,0,21
Haroon Rasheed,PAK,1977-1983,23,36,1,1217,153,34.77,3,5,2
RA Harper,WI,1983-1993,25,32,3,535,74,18.44,0,3,5
CZ Harris,NZ,1992-2002,23,42,4,777,71,20.44,0,5,9
Lord Harris,ENG,1879-1884,4,6,1,145,52,29.00,0,1,0
MS Harris,AUS,2018-2022,14,26,2,607,79,25.29,0,3,0
PGZ Harris,NZ,1955-1965,9,18,1,378,101,22.23,1,1,3
PL Harris,SA,2007-2011,37,48,5,460,46,10.69,0,0,9
RJ Harris,AUS,2010-2015,27,39,11,603,74,21.53,0,3,2
RM Harris,NZ,1959-1959,2,3,0,31,13,10.33,0,0,0
TA Harris,SA,1947-1949,3,5,1,100,60,25.00,0,1,0
J Harry,AUS,1895-1895,1,2,0,8,6,4.00,0,0,0
MN Hart,NZ,1994-1995,14,24,4,353,45,17.65,0,0,3
RG Hart,NZ,2002-2003,11,19,3,260,57*,16.25,0,1,4
GPD Hartigan,SA,1912-1914,5,10,0,114,51,11.40,0,1,3
MJ Hartigan,AUS,1908-1908,2,4,0,170,116,42.50,1,0,0
AEV Hartkopf,AUS,1925-1925,1,2,0,80,80,40.00,0,1,1
BR Hartland,NZ,1992-1994,9,18,0,303,52,16.83,0,1,3
JC Hartley,ENG,1906-1906,2,4,0,15,9,3.75,0,0,2
MR Harvey,AUS,1947-1947,1,2,0,43,31,21.50,0,0,0
RL Harvey,SA,1936-1936,2,4,0,51,28,12.75,0,0,0
RN Harvey,AUS,1948-1963,79,137,10,6149,205,48.41,21,24,7
Harvinder Singh,IND,1998-2001,3,4,1,6,6,2.00,0,0,2
Hasan Ali,PAK,2017-2023,22,34,5,375,30,12.93,0,0,6
Hasan Raza,PAK,1996-2005,7,10,1,235,68,26.11,0,2,1
Haseeb Ahsan,PAK,1958-1962,12,16,7,61,14,6.77,0,0,3
Hashmatullah Shahidi,AFG,2018-2021,5,10,4,353,200*,58.83,1,1,0
Hasibul Hossain,BAN,2000-2001,5,10,1,97,31,10.77,0,0,2
MJ Haslam,NZ,1992-1995,4,2,1,4,3,4.00,0,0,0
AL Hassett,AUS,1938-1953,43,69,3,3073,198*,46.56,10,11,1
BF Hastings,NZ,1969-1976,31,56,6,1510,117*,30.20,4,7,6
JW Hastings,AUS,2012-2012,1,2,0,52,32,26.00,0,0,0
CMH Hathorn,SA,1902-1911,12,20,1,325,102,17.10,1,0,1
UC Hathurusinghe,SL,1991-1999,26,44,1,1274,83,29.62,0,8,2
NM Hauritz,AUS,2004-2010,17,24,7,426,75,25.05,0,2,1
Lord Hawke,ENG,1896-1899,5,8,1,55,30,7.85,0,0,2
NJN Hawke,AUS,1963-1968,27,37,15,365,45*,16.59,0,0,6
ML Hayden,AUS,1994-2009,103,184,14,8625,380,50.73,30,29,14
EG Hayes,ENG,1906-1912,5,9,1,86,35,10.75,0,0,2
FC Hayes,ENG,1973-1976,9,17,1,244,106*,15.25,1,0,6
JA Hayes,NZ,1951-1958,15,22,7,73,19,4.86,0,0,4
DL Haynes,WI,1978-1994,116,202,25,7487,184,42.29,18,39,10
M Hayward,SA,1999-2004,16,17,8,66,14,7.33,0,0,3
TW Hayward,ENG,1896-1909,35,60,2,1999,137,34.46,3,12,7
VS Hazare,IND,1946-1953,30,52,6,2192,164*,47.65,7,9,4
JR Hazlewood,AUS,2014-2023,59,70,33,445,39,12.02,0,0,10
GR Hazlitt,AUS,1907-1912,9,12,4,89,34*,11.12,0,0,2
TM Head,AUS,2018-2023,36,57,5,2361,175,45.40,5,13,3
DW Headley,ENG,1997-1999,15,26,4,186,31,8.45,0,0,3
GA Headley,WI,1930-1954,22,40,4,2190,270*,60.83,10,5,2
RGA Headley,WI,1973-1973,2,4,0,62,42,15.50,0,0,0
IA Healy,AUS,1988-1999,119,182,23,4356,161*,27.39,4,22,18
A Hearne,ENG,1892-1892,1,1,0,9,9,9.00,0,0,0
F Hearne,ENG/SA,1889-1896,6,10,0,168,30,16.80,0,0,2
